# Game	Random	Human	Ape-X [18]	MuZero	MuZero normalized
alien	128.30	6371.30	17732.00	713387.37	11424.9
amidar	11.79	1540.43	1047.00	26638.80	1741.9
assault	166.95	628.89	24405.00	143900.58	31115.2
asterix	164.50	7536.00	283180.00	985801.95	13370.9
asteroids	877.10	36517.30	117303.00	606971.12	1700.6
atlantis	13463.00	26575.00	918715.00	1653202.50	12505.6
bank heist	21.70	644.50	1201.00	962.11	151.0
battle zone	3560.00	33030.00	92275.00	791387.00	2673.3
beam rider	254.56	14961.02	72234.00	419460.76	2850.5
berzerk	196.10	2237.50	55599.00	87308.60	4267.3
bowling	35.16	146.46	30.00	194.03	142.7
boxing	-1.46	9.61	81.00	56.60	524.5
breakout	1.77	27.86	757.00	849.59	3249.6
centipede	1925.45	10321.89	5712.00	1138294.60	13533.9
chopper command	644.00	8930.00	576602.00	932370.10	11244.6
crazy climber	9337.00	32667.00	263954.00	412213.90	1726.9
defender	1965.50	14296.00	399865.00	823636.00	6663.7
demon attack	208.25	3442.85	133002.00	143858.05	4441.0
double dunk	-15.97	-14.37	22.00	23.12	2443.1
enduro	-81.84	740.17	2042.00	2264.20	285.4
fishing derby	-77.11	5.09	22.00	57.45	163.7
freeway	0.17	25.61	29.00	28.38	110.9
frostbite	90.80	4202.80	6512.00	613944.04	14928.3
gopher	250.00	2311.00	121168.00	129218.68	6257.6
gravitar	245.50	3116.00	662.00	3390.65	109.6
hero	1580.30	25839.40	26345.00	44129.55	175.4
ice hockey	-9.67	0.53	24.00	52.40	608.5
jamesbond	33.50	368.50	18992.00	39107.20	11663.8
kangaroo	100.00	2739.00	578.00	13210.50	496.8
krull	1151.90	2109.10	8592.00	257706.70	26802.6
kung fu master	304.00	20786.80	72068.00	174623.60	851.1
montezuma revenge	25.00	4182.00	1079.00	57.10	0.8
ms pacman	197.80	15375.05	6135.00	230650.24	1518.4
name this game	1747.80	6796.00	23830.00	152723.62	2990.7
phoenix	1134.40	6686.20	188789.00	943255.07	16969.6
pitfall	-348.80	5998.91	-273.00	-801.10	-7.1
pong	-17.95	15.46	19.00	19.20	111.2
private eye	662.78	64169.07	865.00	5067.59	6.9
qbert	159.38	12085.00	380152.00	39302.10	328.2
riverraid	588.30	14382.20	49983.00	315353.33	2281.9
road runner	200.00	6878.00	127112.00	580445.00	8688.9
robotank	2.42	8.94	69.00	128.80	1938.3
seaquest	215.50	40425.80	377180.00	997601.01	2480.4
skiing	-15287.35	-3686.58	-11359.00	-29400.75	-121.7
solaris	2047.20	11032.60	3116.00	2108.08	0.7
space invaders	182.55	1464.90	50699.00	57450.41	4465.9
star gunner	697.00	9528.00	432958.00	539342.70	6099.5
surround	-9.72	5.37	6.00	8.46	120.5
tennis	-21.43	-6.69	23.00	-2.30	129.8
time pilot	3273.00	5650.00	71543.00	405829.30	16935.5
tutankham	12.74	138.30	128.00	351.76	270.0
up n down	707.20	9896.10	347912.00	607807.85	6606.9
venture	18.00	1039.00	936.00	21.10	0.3
video pinball	0.00	15641.09	873989.00	970881.10	6207.2
wizard of wor	804.00	4556.00	46897.00	196279.20	5209.9
yars revenge	1476.88	47135.17	131701.00	888633.84	1943.0
zaxxon	475.00	8443.00	37672.00	592238.70	7426.8

# Game	Random	Human	SimPLe [20]	Ape-X [18]	R2D2 [21]	MuZero	MuZero normalized
alien	227.75	7127.80	616.90	40805.00	229496.90	741812.63	10747.5
amidar	5.77	1719.53	74.30	8659.00	29321.40	28634.39	1670.5
assault	222.39	742.00	527.20	24559.00	108197.00	143972.03	27664.9
asterix	210.00	8503.33	1128.30	313305.00	999153.30	998425.00	12036.4
asteroids	719.10	47388.67	793.60	155495.00	357867.70	678558.64	1452.4
atlantis	12850.00	29028.13	20992.50	944498.00	1620764.00	1674767.20	10272.6
bank heist	14.20	753.13	34.20	1716.00	24235.90	1278.98	171.2
battle zone	2360.00	37187.50	4031.20	98895.00	751880.00	848623.00	2429.9
beam rider	363.88	16926.53	621.60	63305.00	188257.40	454993.53	2744.9
berzerk	123.65	2630.42	-	57197.00	53318.70	85932.60	3423.1
bowling	23.11	160.73	30.00	18.00	219.50	260.13	172.2
boxing	0.05	12.06	7.80	100.00	98.50	100.00	832.2
breakout	1.72	30.47	16.40	801.00	837.70	864.00	2999.2
centipede	2090.87	12017.04	-	12974.00	599140.30	1159049.27	11655.6
chopper command	811.00	7387.80	979.40	721851.00	986652.00	991039.70	15056.4
crazy climber	10780.50	35829.41	62583.60	320426.00	366690.70	458315.40	1786.6
defender	2874.50	18688.89	-	411944.00	665792.00	839642.95	5291.2
demon attack	152.07	1971.00	208.10	133086.00	140002.30	143964.26	7906.4
double dunk	-18.55	-16.40	-	24.00	23.70	23.94	1976.3
enduro	0.00	860.53	-	2177.00	2372.70	2382.44	276.9
fishing derby	-91.71	-38.80	-90.70	44.00	85.80	91.16	345.6
freeway	0.01	29.60	16.70	34.00	32.50	33.03	111.6
frostbite	65.20	4334.67	236.90	9329.00	315456.40	631378.53	14786.7
gopher	257.60	2412.50	596.80	120501.00	124776.30	130345.58	6036.8
gravitar	173.00	3351.43	173.40	1599.00	15680.70	6682.70	204.8
hero	1026.97	30826.38	2656.60	31656.00	39537.10	49244.11	161.8
ice hockey	-11.15	0.88	-11.60	33.00	79.30	67.04	650.0
jamesbond	29.00	302.80	100.50	21323.00	25354.00	41063.25	14986.9
kangaroo	52.00	3035.00	51.20	1416.00	14130.70	16763.60	560.2
krull	1598.05	2665.53	2204.80	11741.00	218448.10	269358.27	25083.4
kung fu master	258.50	22736.25	14862.50	97830.00	233413.30	204824.00	910.1
montezuma revenge	0.00	4753.33	-	2500.00	2061.30	0.00	0.0
ms pacman	307.30	6951.60	1480.00	11255.00	42281.70	243401.10	3658.7
name this game	2292.35	8049.00	2420.70	25783.00	58182.70	157177.85	2690.5
phoenix	761.40	7242.60	-	224491.00	864020.00	955137.84	14725.3
pitfall	-229.44	6463.69	-	-1.00	0.00	0.00	3.4
pong	-20.71	14.59	12.80	21.00	21.00	21.00	118.2
private eye	24.94	69571.27	35.00	50.00	5322.70	15299.98	22.0
qbert	163.88	13455.00	1288.80	302391.00	408850.00	72276.00	542.6
riverraid	1338.50	17118.00	1957.80	63864.00	45632.10	323417.18	2041.1
road runner	11.50	7845.00	5640.60	222235.00	599246.70	613411.80	7830.5
robotank	2.16	11.94	-	74.00	100.40	131.13	1318.7
seaquest	68.40	42054.71	683.30	392952.00	999996.70	999976.52	2381.5
skiing	-17098.09	-4336.93	-	-10790.00	-30021.70	-29968.36	-100.9
solaris	1236.30	12326.67	-	2893.00	3787.20	56.62	-10.6
space invaders	148.03	1668.67	-	54681.00	43223.40	74335.30	4878.7
star gunner	664.00	10250.00	-	434343.00	717344.00	549271.70	5723.0
surround	-9.99	6.53	-	7.00	9.90	9.99	120.9
tennis	-23.84	-8.27	-	24.00	-0.10	0.00	153.1
time pilot	3568.00	5229.10	-	87085.00	445377.30	476763.90	28486.9
tutankham	11.43	167.59	-	273.00	395.30	491.48	307.4
up n down	533.40	11693.23	3350.30	401884.00	589226.90	715545.61	6407.0
venture	0.00	1187.50	-	1813.00	1970.70	0.40	0.0
video pinball	0.00	17667.90	-	565163.00	999383.20	981791.88	5556.9
wizard of wor	563.50	4756.52	-	46204.00	144362.70	197126.00	4687.9
yars revenge	3092.91	54576.93	5664.30	148595.00	995048.40	553311.46	1068.7
zaxxon	32.50	9173.30	-	42286.00	224910.70	725853.90	7940.5
